"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
617|111.1681|-34.8776|320.4329|17.2821|-20.16|21.65|0.69|145|6|8912|8912|6559|-5421|2648|"UGC      68"||845.0|0.0931|26.7253
619|111.3111|-34.3622|320.9814|17.3553|-18.98|16.50|0.71|42|6|4810|4810|3567|-2891|1435|"UGC      69"||61.0|0.0939|27.2539
620|104.9136|-53.2334|301.2728|13.3609|-18.09|10.75||||5234|5234|2643|-4353|1209|"NGC       4"||711.0|0.0961|7.8450
624|312.9092|-56.7699|236.5404|-7.7264|-19.48|39.91|0.49|160|6|7686|7686|-4200|-6354|-1033|"ESO  111- 14"||767.0|0.0967|-59.7931
627|14.0002|-80.1341|264.5890|1.9354|-16.22|8.87|0.19|29|6|1499|1266|-119|-1259|43|"NGC       7"|1096|61.0|0.0967|-30.1933
634|354.2136|-78.5851|260.8864|0.5758|-20.72|42.41|0.49|25|3|6793|6793|-1076|-6707|68|"NGC      10"||713.0|0.1006|-34.1364
638|114.8608|-18.1034|338.3300|19.1149|-18.68|19.28|0.52|100|4|8356|8356|7337|-2916|2736|UGC71|-1||0.1001|43.8178
640|94.2596|-67.4594|286.4659|9.1321|-19.13|21.40|0.65|||8415|8415|2354|-7968|1336|"MCG -1- 1- 37"||757.0|0.1028|-7.2753
642|113.6133|-24.6496|331.3314|18.5424|-18.80|19.76|0.17|111|1|4576|4576|3806|-2082|1455|"NGC      11"||860.0|0.1020|37.1694
645|103.3240|-56.6247|297.8174|12.3681|-19.23|19.22|0.91|125|5|4058|4058|1849|-3506|869|"NGC      12"||717.0|0.1030|4.3347
647|108.1242|-45.8262|309.0182|15.0358|-17.20|8.41|0.79|25|9|1012|1022|621|-767|265|"NGC      14"|1211|65.0|0.1033|15.5369
650|112.8052|-28.5978|327.1337|18.0650|-19.51|34.15|0.25|53|2|4989|4989|3984|-2574|1547|"NGC      13"||825.0|0.1036|33.1558
652|110.5582|-38.0295|317.1807|16.5780|-18.52|14.02|0.58|155|5|4692|4692|3298|-3057|1339|"NGC       9"||61.0|0.1056|23.5400
659|358.1100|-79.1640|261.8100|0.7924|-19.31|28.39|0.20|20|3|6883|6883|-981|-6812|95|"ESO  349- 33"||755.0|0.1089|-33.1933
660|111.5858|-34.2061|321.2180|17.1977|-19.54|17.07|0.56|16|-3|3213|3213|2392|-1923|950|"NGC      16"|||0.1082|27.4522
661|109.9921|-40.1751|314.9414|16.1537|-19.06|18.96|0.63|30|1|6492|6492|4404|-4414|1806|"NGC      15"||711.7|0.1074|21.3500
663|98.9097|-63.2374|291.0056|10.3744|-17.38|7.26|0.83|||3765|3765|1327|-3457|678|"MCG -1- 1- 39"||717.0|0.1100|-2.6333
676|115.5958|-14.9169|341.7841|19.1433|-19.14|19.22|0.45|87|4|5350|5350|4801|-1580|1754|"UGC      85"||860.0|0.1145|47.0778
679|112.9507|-28.7486|327.0244|17.8969|-19.30|25.20|0.91|140|-3|5082|5082|4057|-2633|1562|"NGC      20"||825.0|0.1160|33.0314
680|115.7426|-14.1505|342.6089|19.1657|-18.74|17.88|0.52|||5585|5585|5034|-1577|1834|"MCG  8- 1- 27"||860.0|0.1157|47.8572
684|0.8725|-79.5635|262.4490|0.8984|-20.15|30.96|0.79|138|-1|7682|7682|-1010|-7614|120|"IC     1531"||755.0|0.1176|-32.5553
687|111.9135|-33.6367|321.8757|17.1400|-19.54|29.12|1.00||-5|8488|8488|6380|-5008|2501|"UGC      87"||845.0|0.1199|28.0639
690|111.8011|-34.1401|321.3477|17.0537|-20.30|41.11|0.78|160|0|8484|8484|6334|-5067|2488|"NGC      22"||845.0|0.1203|27.5519
695|310.2422|-52.1622|231.9102|-9.3573|-16.10|6.97|0.29|74|5|1760|1541|-938|-1197|-251|"IC     1532"||53.0|0.1231|-64.6500
696|103.8397|-56.6483|297.9520|12.1157|-17.78|14.52|0.76|25|-2|4137|4137|1896|-3573|868|"UGC      88"||717.0|0.1216|4.3961
698|111.3669|-36.0137|319.3848|16.7231|-20.57|28.22|0.69|8|3|4734|4734|3441|-2952|1362|"NGC      23"||61.0|0.1218|25.6450
701|43.6971|-80.4331|269.3890|3.2274|-15.53|6.10|0.21|46|5|574|339|-4|-339|19|"NGC      24"|355|14.0|0.1233|-25.2400
707|111.9468|-33.7771|321.7476|17.0657|-19.91|29.28|0.87||4|8340|8340|6260|-4937|2447|"UGC      92"||845.0|0.1240|27.9314
708|342.5620|-76.9811|258.2370|-0.6845|-19.31|17.46|0.72|178|-5|6865|6865|-1400|-6720|-82|||713|0.1264|-37.0533
709|111.9407|-33.8406|321.7234|17.0353|-18.92|26.86|0.25|115|5|8388|8388|6295|-4969|2457|"UGC      91"||845.0|0.1242|27.8683
718|95.1382|-67.7130|286.5042|8.7137|-18.55|10.37|0.81||6|6465|6465|1815|-6127|979|"MCG -1- 1- 44"||711.0|0.1306|-7.3628
721|73.8709|-77.0258|275.7743|5.3034|-15.42|5.54|0.78|85|10|1589|1440|144|-1427|133|"ESO  538- 24"|1108|61.0|0.1292|-18.5433
725|323.0750|-69.0689|249.1275|-3.8716|-19.39|36.81|0.21|55|4|6033|6033|-2145|-5624|-407|"ESO  241- 21"||713.0|0.1303|-46.6964
729|322.9486|-69.0091|249.0623|-3.9086|-19.64|22.38|0.40|69|5|5949|5949|-2121|-5543|-406|"ESO  241- 22"||713.0|0.1317|-46.7700
732|111.4914|-36.1264|319.3130|16.5887|-19.35|29.05|0.66|100|3|4761|4761|3460|-2975|1359|"NGC      26"||61.0|0.1309|25.5544
742|112.2590|-33.0253|322.5800|17.0766|-19.79|27.74|0.45|117|3|7206|7206|5470|-4186|2116|"NGC      27"||835.0|0.1327|28.7192
743|95.7584|-67.3319|286.9518|8.7890|-20.06|19.69|0.55||3|8295|8295|2389|-7842|1267|"MCG -1- 1- 45"||757.0|0.1343|-6.9178
747|109.0034|-45.1761|309.9007|14.7621|-19.80|16.21|0.68||6|10580|10580|6562|-7849|2696|"CGCG 456- 36"|||0.1345|16.3114
749|17.2508|-80.7691|265.3810|1.6765|-19.29|15.68|0.78|38|6|7762|7762|-625|-7733|227|"MCG -5- 1- 39"||755.0|0.1353|-29.5311
757|108.0548|-47.9820|307.0010|14.1201|-15.18|11.73|1.00||9|1885|1607|938|-1245|392|"UGC 00099"||64.0|0.1351|13.4308
759|113.1548|-29.1138|326.7178|17.6142|-18.88|16.66|0.50|42|4|4968|4968|3958|-2599|1503|"NGC      21"||825.0|0.1350|32.7050
762|112.2094|-33.4569|322.1405|16.9696|-19.37|14.16|1.00|||8823|8823|6662|-5180|2575|"MCG  5- 1- 47"||845.0|0.1356|28.2875
767|113.2522|-28.7549|327.1035|17.6435|-19.43|21.38|0.49|154|3|4950|4950|3961|-2562|1500|"NGC      29"||825.0|0.1365|33.0733
768|112.0599|-34.1430|321.4223|16.8517|-18.97|16.85|0.46|10||7785|7785|5824|-4647|2257|"CGCG 499- 67"||835.0|0.1362|27.5903
772|111.5676|-36.4162|319.0540|16.4270|-19.68|36.50|0.47|155|1|10398|10398|7533|-6537|2940|"UGC     101"||845.0|0.1394|25.2822
774|64.0042|-78.9474|273.1547|4.2743|-19.37|28.74|0.23|103|1|7817|7817|428|-7783|583|"ESO  538- 25"||755.0|0.1393|-21.3456
778|87.4709|-72.8484|281.0296|6.8353|-18.72|16.23|0.28|144|5|6837|6837|1298|-6663|814|"IC        2"||755.0|0.1412|-13.1006
779|112.6132|-32.0084|323.6872|17.1334|-19.41|30.09|0.85|85|1|6966|6966|5364|-3943|2052|"UGC     102"||835.0|0.1405|29.7739
781|88.7712|-72.2487|281.7217|7.0344|-20.72|32.60|0.43|30||5995|5995|1208|-5826|734|"NGC      34"||711.0|0.1426|-12.3856
784|88.9587|-72.1819|281.8096|7.0463|-19.21|12.18|0.74|135|2|6028|6028|1224|-5856|739|"NGC      35"||711.0|0.1437|-12.2989
789|353.8539|-79.1944|261.3303|0.1528|-20.66|34.80|0.40|57|3|7875|7875|-1188|-7785|21|"ESO  349- 38"||755.0|0.1446|-33.8567
791|112.4163|-33.1426|322.5108|16.9130|-19.92|30.92|0.93||-1|8219|8219|6239|-4786|2391|"UGC     105"||845.0|0.1441|28.6286
798|105.3396|-55.1072|299.7461|12.1961|-19.79|39.29|0.62|21|3|6151|6151|2983|-5220|1299|"NGC      36"||711.0|0.1468|6.1117
800|330.3257|-73.5330|253.9488|-2.4301|-15.16|6.42|0.23|137|7|1425|1237|-342|-1187|-52|"ESO  293- 45"|1088|61.0|0.1481|-41.6750
816|112.4610|-33.5637|322.1097|16.7361|-19.77|21.38|0.51|51|1|8214|8214|6207|-4832|2365|"UGC     108"||845.0|0.1527|28.2217
817|11.5411|-80.7968|264.6270|1.1585|-19.11|27.87|0.26|125|8|7757|7757|-727|-7721|157|"ESO  409- 26"||755.0|0.1541|-30.4125
818|97.5018|-66.4799|288.0568|8.8196|-20.85|30.54|0.93|80|2|8120|8120|2486|-7629|1245|"NGC      38"||757.0|0.1538|-5.8644
830|112.0564|-35.6442|319.9526|16.3322|-18.36|15.68|0.63|145|6|4678|4678|3436|-2889|1315|"UGC     110"||61.0|0.1572|26.1156
831|321.3000|-68.4018|248.3873|-4.4321|-19.53|25.41|0.66|178|5|7936|7936|-2915|-7356|-613|"ESO  193- 35"|||0.1592|-47.5750
833|107.9869|-49.6825|305.4186|13.3911|-18.66|22.22|0.32|76|5|6478|6478|3652|-5136|1500|"UGC     111"||711.7|0.1596|11.7675
836|101.8349|-61.6650|293.1070|10.2117|-18.61|13.94|||-5|5517|5517|2130|-4994|978|"IC        3"||711.0|0.1589|-0.6936
847|111.1358|-39.6505|315.7970|15.5476|-19.66|26.11|0.35|105|3|7789|7789|5379|-5232|2088|"UGC     113"||835.0|0.1613|22.0439
852|113.1495|-31.0652|324.7755|17.0060|-19.11|16.87|0.91||6|5033|5033|3931|-2776|1472|"NGC      39"||825.0|0.1621|30.7842
853|358.1829|-79.9833|262.4354|0.2629|-18.98|12.49|0.89|121|5|7433|7433|-979|-7368|34|||755.0|0.1650|-32.7758
859|105.4347|-56.0454|298.9476|11.6737|-19.58|22.88|0.35|68|5|8592|8592|4072|-7363|1738|"UGC     116"||711.5|0.1670|5.2228
865|111.2205|-39.9675|315.5182|15.3672|-19.33|15.18|0.63||8|6108|6108|4202|-4127|1619|"NGC      41"||717.7|0.1702|21.7458
867|111.2803|-39.8984|315.6025|15.3509|-18.94|19.21|0.56|115|-3|6140|6140|4230|-4143|1625|"NGC      42"||717.7|0.1725|21.8225
869|113.7514|-28.8230|327.1750|17.2060|-18.27|21.31|0.68|110|4|4935|4935|3961|-2556|1460|"UGC     117"||825.0|0.1718|33.0828
873|98.2397|-66.5308|288.2047|8.5592|-19.21|17.85|0.42||2|5576|5576|1722|-5238|830|"MCG -1- 1- 49"||711.0|0.1733|-5.8000
874|114.8573|-23.0220|333.3063|17.8906|-18.01|15.73|0.59|105|5|4801|4801|4082|-2053|1475|"UGC     121"||860.0|0.1733|38.9683
875|113.2918|-31.2355|324.6472|16.8364|-19.26|23.49|0.89||-2|4961|4961|3873|-2748|1437|"NGC      43"||825.0|0.1736|30.6378
878|109.1199|-47.4286|307.8383|13.7209|-17.03|5.72|0.60|78|8|2173|2098|1250|-1609|498|"UGC     119"|1188|64.0|0.1745|14.1328
896|112.8894|-33.7503|322.0512|16.3375|-18.88|21.92|0.19|32|1|7508|7508|5681|-4431|2112|"UGC     124"||835.0|0.1819|28.1025
897|110.1942|-44.4447|310.9518|14.3003|-19.55|15.75|0.83|10|5|5152|5152|3272|-3771|1273|"IC        4"||717.7|0.1812|17.2072
902|98.9925|-66.1884|288.6656|8.5352|-19.61|18.26|0.55|170|2|5447|5447|1724|-5103|808|"MCG -1- 1- 52"||711.0|0.1836|-5.3706
905|95.2123|-69.5843|285.1166|7.4427|-19.96|16.06|0.85|||6613|6613|1710|-6331|857|"MCG -2- 1- 36"||755.0|0.1848|-9.0508
906|116.5376|-13.7072|343.2342|18.5010|-18.56|12.20|0.58|||5383|5383|4888|-1473|1708|"MCG  8- 1- 29"||860.0|0.1845|48.4175
908|113.3233|-31.9724|323.9272|16.5755|-19.59|18.62|0.51|49|1|7322|7322|5672|-4133|2089|"MCG  5- 1- 55"||835.0|0.1854|29.9167
910|116.4626|-14.2468|342.6614|18.4629|-18.47|16.57|0.49|72|-2|5420|5420|4907|-1533|1716|"IC     1534"||860.0|0.1854|47.8731
921|113.5161|-31.3023|324.6446|16.6334|-19.26|5.84|0.78|160||4910|4910|3837|-2723|1405|"UGC     130"||825.0|0.1891|30.6050
922|116.4968|-14.2448|342.6706|18.4309|-18.47|20.89|0.25|170|3|5427|5427|4915|-1534|1716|"IC     1535"||860.0|0.1887|47.8800
923|7.1152|-81.0580|264.2353|0.5248|-19.38|18.98|0.89|172|4|7636|7636|-768|-7597|70|"ESO  409- 28"||755.0|0.1909|-30.9875
924|108.9866|-48.8918|306.4450|13.1620|-15.73|7.45|0.35|14|8|1803|1610|931|-1261|367|"UGC     132"||64.0|0.1906|12.6858
926|307.5871|-46.7662|226.5002|-11.2963|-18.61|20.34|0.79||6|4008|4008|-2706|-2851|-785|"ESO   50-  6"||150.0|0.1933|-70.3000
929|116.5218|-14.1709|342.7521|18.4222|-16.42|8.92|0.62|15|5|1972|1927|1746|-542|609|"NGC      48"|1292|64.5|0.1900|47.9567
930|55.8978|-80.6700|271.3793|2.9078|-16.20|7.20|0.69|142|7|492|325|8|-325|16|"NGC      45"|355|14.0|0.1922|-23.4600
935|319.9013|-68.0662|248.0035|-4.9172|-18.71|18.38|0.44|62|4|6440|6440|-2404|-5949|-552|"ESO  193- 38"||713.0|0.1931|-48.0900
941|113.1074|-33.6152|322.2467|16.2113|-19.02|11.73|0.91||-2|7311|7311|5550|-4299|2041|"CGCG 499- 84"||835.0|0.1936|28.2672
949|116.5573|-14.2685|342.6587|18.3686|-18.80|12.54|0.71|173|-3|5301|5301|4803|-1500|1671|IC1536|-1|860.0|0.1947|47.8653
952|116.5804|-14.1677|342.7676|18.3673|-18.18|16.28|0.91|165|-2|4970|4970|4505|-1398|1566|"NGC      49"||860.0|0.1957|47.9683
953|113.1616|-33.6547|322.2234|16.1557|-18.92|11.08|0.87||-2|7402|7402|5619|-4356|2060|"CGCG 499- 85"||835.0|0.1975|28.2361
954|72.2714|-78.7218|274.7680|3.9279|-18.83|28.16|0.13|27|4|8020|8020|664|-7973|549|"ESO  539-  3"||755.0|0.1985|-19.9636
963|102.8434|-62.1603|292.9632|9.5403|-18.24|25.35|0.46|82|5|4061|4061|1562|-3688|673|"UGC     139"||717.0|0.1995|-1.0153
967|97.4726|-68.1932|286.7151|7.7366|-20.67|36.08|0.89||2|5779|5779|1647|-5485|778|"NGC      47"||711.0|0.1975|-7.4500
970|113.1817|-33.7249|322.1997|16.1032|-18.52|22.36|0.51|145|0|6985|6985|5302|-4113|1937|"UGC     141"||835.0|0.1992|28.1700
971|97.5164|-68.3346|286.6158|7.6338|-19.31|10.49|0.68|||5439|5439|1541|-5166|723|"MCG -1- 1- 57"||711.0|0.2020|-7.5742
974|116.6159|-14.1636|342.7792|18.3344|-19.12|25.67|0.87||-2|5546|5546|5028|-1559|1745|"NGC      51"||860.0|0.1991|47.9775
978|110.8985|-43.4256|312.1252|14.2467|-19.64|36.23|0.20|127|4|5542|5542|3603|-3984|1364|"NGC      52"||717.7|0.2014|18.3075
982|311.1017|-56.2129|235.9948|-8.7335|-19.59|22.61|0.63|160|4|4455|4455|-2463|-3650|-676|"NGC      53"||150.0|0.2042|-60.6067
983|97.5087|-68.3867|286.5735|7.6028|-21.29|43.37|0.71|155|0|5779|5779|1633|-5490|765|"NGC      50"||711.0|0.2032|-7.6233
991|51.1936|-81.2355|270.5830|2.4252|-17.34|14.67|0.24|54||7783|7783|78|-7776|329|||755|0.2071|-24.3675
994|112.8300|-35.8237|320.0045|15.6810|-19.69|15.54|0.81||8|7516|7516|5543|-4651|2031|"MCG  4- 1- 44"||835.0|0.2054|26.0528
1007|118.4839|-1.9496|355.8011|18.5293|-17.85|10.85|0.13||5|4679|4679|4425|-325|1487|"WEIN     10"|||0.2069|60.3300
1010|16.2345|-81.7300|265.7343|0.7697|-19.44|26.59|0.31|13|5|7403|7403|-551|-7382|99|"ESO  410-  4"||755.0|0.2099|-29.4886
1011|97.9887|-68.2019|286.8313|7.5831|-19.50|19.38|0.36|93|2|5396|5396|1548|-5120|712|"NGC      54"||711.0|0.2096|-7.3847
1013|51.5620|-81.2535|270.6375|2.4033|-19.59|21.38|0.46|152|4|7666|7666|85|-7659|321|"ESO  473-  4"||755.0|0.2100|-24.3225
1014|332.6740|-75.7376|256.2411|-2.4105|-17.90|9.43|0.21|108|8|98|120|-28|-117|-5|"NGC      55"|234|14.0|0.2106|-39.4983
1022|98.8196|-67.5074|287.5755|7.7736|-19.25|17.85|0.43|76||7875|7875|2355|-7439|1065|IRAS00127-0637||757.0|0.2118|-6.6236
1023|97.6398|-68.6156|286.4266|7.4198|-18.85|16.65|0.38|88|3|6857|6857|1922|-6522|885|"MCG -1- 1- 61"||757.0|0.2122|-7.8161
1027|96.9956|-69.2058|285.8202|7.2190|-18.53|24.58|0.65|40|8|6385|6385|1726|-6095|802|||711.0|0.2133|-8.4500
1029|51.6059|-81.3094|270.6400|2.3471|-18.81|13.67|0.49|17|5|7593|7593|84|-7586|311|"ESO  473-  6"||755.0|0.2141|-24.3378
1037|110.8255|-44.6986|310.9007|13.7862|-21.07|39.26|0.83|40|-5|5605|5605|3564|-4115|1336|"NGC      57"||717.7|0.2155|17.0489
1044|113.2814|-34.7580|321.1756|15.6955|-18.94|28.13|0.46|65|-2|7651|7651|5738|-4618|2070|"UGC     146"||835.0|0.2188|27.1658
1046|113.7245|-32.5654|323.4552|16.0640|-19.59|31.85|0.18|156|0|6882|6882|5313|-3938|1904|"UGC     147"||835.0|0.2188|29.3892
1047|353.3745|-80.2850|262.1536|-0.5677|-19.90|21.08|0.79|16|0|7386|7386|-1009|-7316|-73|"ESO  350-  4"||755.0|0.2202|-33.3086
1048|127.3180|-15.9314|342.8990|7.8516|-18.61|14.04|0.46||1|5522|5522|5228|-1609|754|"MCG  8- 3- 11"||860|1.2189|46.4667
1051|110.5966|-45.9285|309.6770|13.4342|-19.20|18.39|0.26|98|5|4357|4357|2705|-3262|1012|"UGC     148"||717.0|0.2212|15.8114
1052|111.5877|-42.3130|313.3853|14.2161|-19.05|11.03|0.66||-2|6564|6564|4370|-4625|1612|"MCG  3- 1- 33"||711.7|0.2214|19.4961
1056|110.0460|-47.9064|307.7074|12.9458|-18.00|21.61|0.22|60|5|5613|5613|3345|-4328|1257|"UGC     149"||717.7|0.2230|13.7981
1074|108.9140|-51.5793|303.9573|12.0085|-18.94|17.59|0.87||0|5369|5369|2933|-4356|1117|"UGC     151"||711.0|0.2278|10.0539
1082|113.7598|-33.2700|322.7712|15.8096|-19.17|18.45||||7498|7498|5744|-4365|2043|"CGCG 499- 91"||835.0|0.2299|28.6989
1083|99.5359|-67.5844|287.6842|7.5106|-20.78|29.32|0.71||-2|7977|7977|2402|-7535|1043|"NGC      61A"||757.0|0.2308|-6.5967
1084|114.0300|-31.8920|324.2050|16.0322|-19.24|18.33|0.41||-2|6424|6424|5008|-3612|1774|"MCG  5- 1- 58"||835.0|0.2301|30.0956
1085|99.5382|-67.5901|287.6802|7.5064|-20.41|27.53|0.65||-2|8026|8026|2416|-7582|1048|"NGC      61B"||757.0|0.2310|-6.6017
1099|116.9285|-14.5445|342.4515|17.9603|-18.66|14.30|0.43|178|8|4576|4576|4150|-1313|1411|UGC153|-1|860.0|0.2340|47.6439
1101|95.0061|-71.5154|283.6293|6.1966|-18.17|7.66|0.52||5|5231|5231|1225|-5054|565|"MCG -2- 1- 41"||711.0|0.2357|-10.8308
1102|339.6624|-78.2677|259.1503|-1.7831|-19.26|18.07|0.89|175|0|7973|7973|-1501|-7827|-248|"MCG -6- 1- 38"||755.0|0.2373|-36.5411
1106|107.8851|-54.7787|300.7691|11.0819|-18.46|17.65|0.25|3|5|4086|4086|2051|-3446|785|"UGC     155"||717.0|0.2360|6.7981
1107|109.8051|-49.6383|305.9948|12.3559|-15.45|6.94|0.65|5|6|1270|946|543|-747|202|"UGC     156"|1212|65.0|0.2371|12.0708
1108|113.9924|-32.6503|323.4464|15.8231|-19.45|21.22||||7067|7067|5461|-4050|1927|"CGCG 499- 95"||835.0|0.2369|29.3419
1109|100.7385|-66.6394|288.7295|7.7062|-18.93|16.29|0.32|45|3|4041|4041|1286|-3793|542|"MCG -1- 1- 64"||717.0|0.2381|-5.5481
1113|113.6711|-34.4008|321.6359|15.5111|-19.75|25.99|0.89|15|3|9321|9321|7042|-5575|2493|"UGC     157"||845.0|0.2382|27.5711
1114|113.6896|-34.3614|321.6797|15.5096|-18.63|8.72|0.58|||4627|4627|3498|-2765|1237|"CGCG 499- 97"||61.0|0.2389|27.6125
1117|112.5691|-39.6534|316.2178|14.5216|-18.81|14.75|0.63||-5|5539|5539|3871|-3710|1389|"MCG  4- 1- 46"||717.7|0.2393|22.2456
1119|114.1092|-32.3409|323.7838|15.8275|-19.99|19.47|0.78|||9862|9862|7654|-5607|2690|"CGCG 499- 98"||845.0|0.2406|29.6631
1121|50.7935|-81.7784|270.4895|1.8870|-19.07|17.05|0.69|93|4|7697|7697|65|-7693|253|"ESO  473-  8"||755.0|0.2425|-24.6247
1123|116.1536|-20.2577|336.4315|17.4173|-18.10|24.34|0.25|173|3|5260|5260|4600|-2007|1574|"UGC     158"||860.0|0.2408|41.8836
1125|90.7601|-74.1721|280.8449|5.2264|-20.07|18.61|0.76|130|3|6521|6521|1221|-6378|594|"NGC      62"||755.0|0.2424|-13.7647
1126|99.9121|-67.6964|287.6824|7.3289|-20.50|26.44|0.93||4|8069|8069|2430|-7625|1029|"MCG -1- 1- 65"||757.0|0.2423|-6.6508
1127|101.4379|-66.0388|289.3863|7.8325|-19.18|25.42|0.30|123|-1|6162|6162|2026|-5759|840|"MCG -1- 1- 66"||711.0|0.2425|-4.8883
1130|75.9815|-78.9044|275.2972|3.4338|-18.69|15.34|0.60|38|6|3240|3240|298|-3220|194|"ESO  539-  5"||717.0|0.2439|-19.5794
1138|114.2197|-32.0838|324.0680|15.8194|-18.75|10.37|0.81|||6464|6464|5035|-3650|1762|"MCG  5- 1- 61"||835.0|0.2447|29.9317
1139|107.9867|-55.1550|300.4591|10.8530|-18.37|16.09|0.63|103|5|5770|5770|2872|-4885|1086|"UGC     163"||711.0|0.2458|6.4456
1142|104.1828|-62.6054|292.9314|8.7770|-18.39|13.94|0.78||1|5482|5482|2111|-4990|836|"MCG  0- 1- 58"||711.0|0.2478|-1.2564
1144|111.6403|-44.0357|311.7645|13.5139|-18.54|24.15|0.45|65|4|5591|5591|3621|-4055|1306|"UGC     164"||717.7|0.2467|17.8103
1145|96.9017|-70.6844|284.6647|6.2859|-19.82|17.21|0.78|||6766|6766|1702|-6506|741|"IC        5"||755.0|0.2505|-9.8211
1146|102.7031|-64.7511|290.7565|8.1396|-18.30|25.17|0.14||3|6540|6540|2294|-6054|926|"MCG -1- 1- 69"||711.0|0.2486|-3.5000
1147|113.5171|-35.9910|320.0377|15.1007|-19.01|17.03||||7621|7621|5639|-4726|1985|"CGCG 478- 50"||835.0|0.2484|25.9817
1149|99.7402|-68.1549|287.2757|7.1016|-20.59|31.64|0.65|30|6|7326|7326|2158|-6942|906|"NGC      64"||757.0|0.2492|-7.1028
1152|101.7212|-66.0951|289.4075|7.7063|-19.21|14.74|0.56||6|6070|6070|1998|-5674|814|"MCG -1- 1- 70"||711.0|0.2508|-4.9042
1154|114.2959|-32.0985|324.0745|15.7535|-18.00|27.22|0.49|18|6|5006|5006|3901|-2827|1359|"UGC     166"||825.0|0.2498|29.9272
1158|113.2484|-37.5690|318.4268|14.7639|-18.57|18.13|0.21|37|3|6209|6209|4491|-3985|1582|"UGC     165"||717.7|0.2516|24.3897
1160|109.8728|-50.5664|305.1582|11.9152|-17.13|5.49|0.66|108|6|1299|1108|624|-886|229|"NGC      63"|1213|65.0|0.2530|11.1717
1161|80.7634|-78.0287|276.5690|3.6946|-19.42|20.53|0.83|100|6|7708|7708|879|-7642|497|"ESO  539-  6"||755.0|0.2538|-18.2914
1165|97.4952|-70.4737|284.9547|6.2710|-18.73|11.26|0.32||1|7018|7018|1800|-6740|767|"MCG -2- 1- 48"||755.0|0.2573|-9.5500
1169|105.2198|-61.3791|294.2446|9.0167|-18.19|15.61|0.69|||5471|5471|2218|-4927|857|"MCG  0- 1- 59"||711.0|0.2560|0.0569
1170|113.3111|-37.6843|318.3327|14.6774|-19.19|15.64|0.76||6|6008|6008|4341|-3864|1522|"MCG  4- 1- 48"||717.7|0.2566|24.2842
1171|114.2616|-32.8382|323.3357|15.5488|-19.44|13.57|1.00|||7035|7035|5436|-4048|1886|"MCG  5- 1- 63"||835.0|0.2562|29.1919
1172|310.9212|-57.5222|237.3221|-8.7897|-19.95|38.23|0.29|158|2|8851|8851|-4723|-7362|-1353|||767.0|0.2600|-59.3625
1173|347.6921|-80.1492|261.5053|-1.2956|-19.47|24.81|0.85|90|1|7572|7572|-1119|-7487|-171|"ESO  350-  7"||755.0|0.2595|-34.1522
1176|334.4053|-77.3053|257.8594|-2.4875|-19.01|26.48|0.31|166|4|6880|6880|-1446|-6720|-299|"ESO  294-  2"||713.0|0.2599|-37.9861
1180|110.5637|-48.8806|306.9122|12.2304|-17.57|10.60|0.41||5|4266|4266|2504|-3334|904|"MCG  2- 1- 31"||717.0|0.2599|12.9128
1186|112.2583|-42.7896|313.1253|13.5777|-18.93|16.27|0.81||6|5572|5572|3702|-3953|1308|"UGC     169"||717.7|0.2620|19.1167
1187|114.4510|-32.2532|323.9642|15.5805|-19.29|20.97|0.91||-3|5974|5974|4653|-3386|1605|"NGC      68"||835.0|0.2616|29.7944
1193|306.2435|-43.7624|223.4851|-12.3957|-19.23|20.75|0.44|136|-1|6190|6190|-4387|-4160|-1329|||118.0|0.2675|-73.4300
1194|114.4701|-32.2470|323.9756|15.5671|-20.15|36.39|0.83|0|4|7339|7339|5717|-4158|1970|"NGC      70"||835.0|0.2627|29.8031
1196|112.0802|-43.6606|312.2462|13.3663|-18.41|10.37|0.83||6|5373|5373|3514|-3870|1242|"CGCG 456- 55"||717.7|0.2638|18.2364
1197|114.4719|-32.2652|323.9581|15.5600|-19.97|30.06|0.79||-4|6802|6802|5298|-3856|1825|"NGC      71"||835.0|0.2631|29.7853
